id,achievement,hedonism,power,self-direction,stimulation,security,conformity,tradition,benevolence,universalism
88,4.0,0.0,4.800000000000001,0.0,9.0,5.6000000000000005,0.0,4.0,4.0,7.2
89,9.0,9.0,9.0,9.0,9.0,9.0,7.2,7.2,7.2,6.4
91,7.2,1.6,9.0,7.2,9.0,9.0,1.6,9.0,9.0,10.0
279,9.0,9.0,2.4000000000000004,7.2,9.0,9.0,9.0,7.2,9.0,7.2
289,9.0,9.0,9.0,7.2,7.2,9.0,9.0,9.0,9.0,7.2
293,9.0,0.0,10.0,9.0,5.6000000000000005,8.0,9.0,6.4,8.0,9.0
326,7.2,8.0,8.0,7.2,7.2,9.0,9.0,7.2,9.0,9.0
435,6.4,0.0,9.0,4.0,7.2,9.0,5.6000000000000005,0.0,7.2,3.0
454,9.0,3.5,9.0,5.6000000000000005,7.2,7.2,9.0,7.2,5.6000000000000005,4.0
668,9.0,9.0,8.0,9.0,8.0,6.4,6.4,6.4,7.2,9.0
